City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
South Milwaukee,102,173,210,326,844,90,167,122,75,531,702,1395,4737
South Naknek,2,2,1,164,2,2,2,3,2,7,2,6,195
South New Berlin,16,23,111,1,143,0,21,29,2,2,54,23,425
South Newfane,5,6,39,2,11,0,3,15,2,3,2,2,90
South Orange,5,1,27,295,46,0,339,42,1015,875,142,79,2866
South Otselic,5,32,26,1,54,0,2,2,1,1,12,12,148
South Ozone Park,27,0,50,57,987,0,150,127,17,348,4522,613,6898
South Padre Island,32,60,12,0,143,1,17,411,2,60,13,2,753
South Paris,185,140,123,3,553,50,10,28,10,5,14,60,1181
South Park,10,148,75,262,471,29,515,287,88,113,139,120,2257
South Pasadena,18,3,23,389,302,8,838,121,394,1826,1481,156,5559
South Pittsburg,211,628,133,2,206,15,16,6,4,6,67,26,1320
South Plainfield,4,4,121,529,24,0,938,365,500,902,683,57,4127
South Plymouth,7,33,34,1,45,0,6,3,1,2,5,11,148
South Point,383,304,456,9,883,201,42,82,0,30,169,162,2721
South Pomfret,2,2,8,0,4,0,3,24,1,3,3,2,52
South Portland,305,493,301,163,432,433,565,263,247,894,1125,582,5803
South Portsmouth,21,89,9,0,21,6,1,1,0,1,2,1,152
South Range,17,60,93,38,265,3,32,67,2,40,104,15,736
South Richmond Hill,46,4,62,5,2709,10,8,4,0,193,2985,572,6598
South River,40,192,79,261,264,5,573,122,171,225,660,339,2931
South Rockwood,10,24,99,2,237,0,34,37,2,13,109,93,660
South Roxana,8,57,29,1,194,1,2,7,2,4,17,90,412
South Royalton,14,55,88,7,376,13,18,43,9,10,16,176,825
South Ryegate,15,9,66,0,17,0,5,43,1,2,25,3,186
South Saint Paul,129,133,344,232,1564,105,432,437,78,282,303,281,4320
South Salem,10,38,56,134,133,1,18,13,735,371,19,15,1543
South San Francisco,261,359,159,2501,814,211,2167,255,1073,672,2159,699,11330
South Shore,163,442,172,5,388,17,19,61,2,10,55,28,1362
South Sioux City,192,824,130,28,398,287,119,24,45,68,348,249,2712
South Solon,5,16,68,5,52,2,12,7,3,4,7,30,211
South Sterling,3,0,7,0,9,0,2,8,0,3,3,1,36
South Strafford,2,1,10,0,12,0,3,46,2,14,5,3,98
South Tamworth,2,1,51,1,17,0,1,1,1,0,1,1,77
South Thomaston,13,2,129,0,128,0,4,29,2,6,31,18,362
South Vienna,17,23,65,40,276,0,69,24,14,42,85,13,668
South Wales,4,1,72,16,103,0,74,33,5,46,93,29,476
South Walpole,0,0,0,35,0,0,10,4,41,38,16,1,145
South Wayne,25,18,62,4,94,1,6,14,5,3,22,14,268
South Webster,41,329,15,3,110,1,0,2,1,3,22,20,547
South West City,28,174,15,1,37,28,3,2,0,1,2,16,307
South Weymouth,21,122,63,176,241,54,627,390,250,457,578,408,3387
South Whitley,26,311,187,6,135,10,6,8,3,15,53,14,774
South Williamson,26,72,18,0,18,0,0,3,0,4,11,15,167
South Windham,0,0,2,3,9,0,17,4,2,11,35,3,86
South Windsor,36,0,121,639,107,0,494,731,528,533,1812,148,5149
South Woodstock,2,0,1,1,0,0,49,7,0,6,4,0,70
South Yarmouth,144,186,337,1,245,10,148,695,9,59,54,415,2303
Southampton,252,42,487,1331,155,33,937,1624,1222,1671,2885,235,10874
Southard,0,0,2,0,0,0,0,0,0,0,0,0,2
Southaven,248,2790,543,575,1121,865,302,224,108,1008,826,605,9215
Southborough,5,3,4,355,5,0,141,14,864,268,24,18,1701
Southbridge,58,333,347,77,836,350,227,165,63,205,195,742,3598
Southbury,222,13,430,800,13,2,197,426,795,1213,197,13,4321
Southern Pines,565,685,208,26,82,612,425,491,37,64,119,348,3662
Southfield,1809,2069,1157,264,1726,458,2075,2556,1043,1030,3056,689,17932
Southfields,0,0,1,18,0,0,38,5,15,4,15,2,98
Southgate,377,716,1299,81,2153,514,187,682,77,90,255,274,6705
Southington,307,365,734,376,879,135,957,418,269,1259,1386,138,7223
Southlake,1,2,4,987,3,0,75,17,2290,954,78,54,4465
Southold,58,4,199,58,109,0,328,195,55,137,87,38,1268
Southport,357,477,457,101,809,2,215,1501,574,214,139,89,4935
Southside,39,78,80,14,77,1,10,10,3,16,42,8,378
Southwest Harbor,251,17,116,0,14,1,0,14,0,1,1,15,430
Southwick,5,6,86,217,150,0,536,154,43,141,440,139,1917
Spalding,116,30,28,3,33,0,4,12,1,1,10,15,253
Spanaway,174,183,477,991,1366,77,391,115,51,1024,2390,566,7805
Spangle,7,7,31,12,16,1,15,28,3,7,117,17,261
Spangler,80,2,13,0,3,0,1,1,0,1,1,1,103
Spanish Fork,158,754,242,465,1003,56,159,71,11,494,2106,127,5646
Spanish Fort,63,131,83,338,369,4,240,153,101,544,466,124,2616
Spanishburg,12,109,4,0,18,3,1,1,0,1,3,2,154
Sparkill,1,0,1,42,0,0,72,39,67,39,31,0,292
Sparkman,104,69,88,1,90,0,4,2,0,3,9,6,376
Sparks,641,2974,1007,2655,3704,1403,1341,364,505,1062,5506,1020,22182
Sparks Glencoe,5,0,33,74,4,0,145,148,256,252,259,16,1192
Sparland,19,5,37,7,76,0,10,52,5,34,69,3,317
Sparrow Bush,6,22,264,2,124,0,11,5,1,21,23,8,487
Sparrows Point,60,14,208,105,202,5,99,619,68,133,382,60,1955
Sparta,2916,5126,2034,1289,3606,308,685,434,1328,1372,1026,788,20912
Spartanburg,1943,7101,1995,429,2429,3102,543,1020,486,686,737,2272,22743
Spartansburg,29,179,85,6,123,1,10,7,4,5,17,12,478
Spavinaw,166,24,17,1,8,1,4,4,2,1,5,1,234
Spearfish,468,363,313,12,505,272,94,154,13,249,468,577,3488
Spearman,56,80,118,17,139,0,24,46,5,25,113,56,679
Spearsville,56,139,77,4,72,4,5,5,1,2,11,14,390
Spearville,6,5,35,12,16,1,14,5,4,5,115,12,230
Speculator,0,0,2,0,2,0,1,70,0,0,3,2,80
Speedwell,191,514,187,1,175,3,9,12,1,5,16,9,1123
Speer,6,2,21,2,4,0,3,34,1,2,8,2,85
Spencer,1810,2653,2535,564,2962,465,913,432,149,346,1258,785,14872
Spencerport,57,10,201,246,413,24,251,519,224,635,916,91,3587
Spencertown,1,0,3,2,2,0,5,12,2,6,4,1,38
Spencerville,68,113,267,62,471,3,158,109,71,81,258,20,1681
Sperry,66,145,145,11,291,7,22,48,12,18,97,117,979
Sperryville,28,5,36,3,44,0,21,116,4,16,24,13,310
Spiceland,17,28,241,3,33,0,8,9,4,6,22,5,376
Spicer,17,5,161,26,120,0,131,258,39,61,168,20,1006
Spicewood,19,84,162,162,112,5,250,315,368,75,278,41,1871
Spickard,18,63,14,0,23,0,5,2,2,3,5,3,138
Spindale,110,321,45,0,127,105,11,1,0,2,17,125,864
Spirit Lake,123,405,555,26,728,19,156,402,49,93,179,76,2811
Spiritwood,5,3,5,4,7,0,14,13,2,2,9,1,65
Spiro,579,139,247,5,203,123,11,25,3,6,91,135,1567
Spivey,15,15,30,3,15,0,1,3,2,3,4,1,92
Splendora,106,231,278,62,658,17,152,27,44,80,285,51,1991
Spofford,2,0,26,10,17,0,28,159,7,31,60,12,352
Spokane,4114,17149,6521,2501,7893,11653,5936,3944,645,5482,4480,4417,74735
Spooner,352,293,158,7,285,21,48,128,19,15,95,86,1507
Spotswood,157,11,106,355,154,0,199,69,158,191,207,43,1650
Spotsylvania,133,120,131,887,799,3,744,162,107,634,1947,378,6045
Spottsville,15,6,21,7,22,1,19,12,6,6,80,2,197
Spout Spring,73,18,83,5,77,3,13,12,8,8,54,20,374
Spraggs,21,111,69,2,26,0,6,3,1,5,9,4,257
Sprague,10,2,95,3,16,0,2,7,1,4,3,12,155
Sprague River,43,7,9,0,2,1,0,1,0,0,0,1,64
Spragueville,7,2,25,2,13,1,3,2,1,1,17,1,75
Sprakers,23,19,67,3,29,0,9,16,1,34,78,24,303
Sprankle Mills,3,3,8,0,5,0,0,1,0,2,4,1,27
Spray,4,0,0,0,0,0,0,0,0,0,0,0,4
Spring,471,376,1826,17730,7360,232,5640,2203,4443,9709,8916,2394,61300
Spring Arbor,34,17,186,9,235,0,8,44,2,5,35,87,662
Spring Branch,42,175,375,294,470,1,256,289,336,178,496,66,2978
Spring Church,10,33,86,2,22,1,3,4,1,4,9,10,185
Spring City,317,843,428,153,846,123,166,149,242,200,388,203,4058
Spring Creek,32,11,58,212,349,2,329,60,154,1173,299,72,2751
Spring Dale,28,13,5,0,2,0,0,0,0,0,0,1,49
Spring Glen,3,2,22,1,31,0,1,20,0,2,7,4,93
Spring Green,23,9,367,21,139,1,35,102,23,19,152,70,961
Spring Grove,195,297,734,319,690,16,532,457,171,714,1196,242,5563
Spring Hill,4648,5726,7497,486,2762,286,1589,3088,260,1470,2926,1179,31917
Spring Hope,209,240,442,11,187,49,17,51,5,16,67,189,1483
Spring House,0,0,0,5,0,0,8,2,31,8,2,0,56
Spring Lake,412,1848,687,287,2112,1222,770,952,529,386,597,925,10727
Spring Mills,20,78,234,36,146,0,59,107,6,29,80,14,809
Spring Park,60,1,83,12,117,0,34,20,21,90,40,18,496
Spring Run,3,17,129,1,116,1,2,3,2,5,16,31,326
Spring Valley,638,1492,1078,1791,3124,880,1939,762,1686,1680,4612,3373,23055
Springboro,94,373,126,1355,201,20,587,386,111,717,742,15,4727
Springbrook,22,53,84,1,58,0,2,24,2,3,7,4,260
Springdale,1320,5296,1685,590,2226,751,615,204,67,1003,2023,1052,16832
Springer,344,7,33,2,204,1,2,4,1,3,10,12,623
Springerton,18,11,28,0,26,0,1,2,0,1,4,3,94
Springerville,39,76,327,1,104,12,13,15,6,6,56,99,754
Springfield,10091,33167,12112,9008,19782,21512,13311,11240,9812,15426,17594,16494,189549
Springfield Center,5,6,50,1,15,0,2,19,0,1,3,5,107
Springfield Gardens,76,0,157,495,219,1,1613,113,44,1453,2151,54,6376
Springhill,297,770,62,1,124,56,32,23,7,11,44,75,1502
Springlake,26,16,3,0,3,0,2,1,0,1,10,0,62
Springport,35,157,128,10,298,4,35,47,8,5,124,41,892
Springs,4,5,15,0,6,0,1,2,0,1,1,1,36
Springtown,182,633,563,106,764,19,226,65,45,142,474,139,3358
Springvale,70,214,108,3,273,28,14,25,14,51,82,80,962
Springview,128,2,6,0,3,0,1,0,1,0,2,0,143
Springville,465,1276,1708,457,2939,281,454,835,108,425,2011,758,11717
Springwater,14,36,155,3,137,0,28,31,6,13,44,6,473
Spruce,52,28,160,0,26,0,6,27,2,4,5,3,313
Spruce Creek,5,4,39,1,10,1,8,4,2,2,8,8,92
Spruce Head,3,2,63,1,45,0,5,46,0,2,3,2,172
Spruce Pine,630,357,711,9,302,39,24,83,10,13,98,53,2329
Spur,141,63,53,0,11,0,1,13,0,0,4,10,296
Spurger,195,66,23,1,20,1,1,3,1,1,2,0,314
Spurlockville,14,100,9,0,25,1,1,0,0,0,2,5,157
Squaw Lake,14,14,19,2,6,1,3,4,2,0,1,0,66
Squaw Valley,64,10,337,2,128,0,21,18,7,9,84,63,743
Squire,46,47,5,0,4,1,0,0,0,0,1,1,105
Squires,30,62,14,0,14,0,1,1,0,0,2,1,125
Squirrel Island,0,0,0,0,0,0,0,0,0,0,0,0,0
Staatsburg,22,0,35,111,33,0,176,26,31,235,160,13,842
Stacy,27,38,60,117,552,1,158,102,15,144,425,7,1646
Stacyville,75,38,49,5,54,0,2,16,1,4,10,1,255
Stafford,228,361,211,6443,2614,21,1271,431,1026,2189,2094,4106,20995
Stafford Springs,34,16,107,242,480,6,618,117,127,154,465,235,2601
Staffordsville,32,216,65,1,102,6,3,5,0,8,10,26,474
Stahlstown,30,22,119,2,81,0,17,24,4,3,43,13,358
Staley,16,100,114,3,172,6,7,4,3,4,36,34,499
Stambaugh,54,103,11,0,8,0,0,2,0,0,2,1,181
Stamford,590,1739,833,2093,896,1029,1928,515,3028,7214,1557,5437,26859
Stamping Ground,18,60,61,60,349,10,20,8,7,25,66,35,719
Stamps,76,202,118,0,76,21,3,5,0,7,10,13,531
Stanardsville,59,35,372,29,371,5,27,73,15,44,95,152,1277
Stanberry,91,115,80,3,26,2,9,21,1,7,19,28,402
Stanchfield,15,32,55,19,189,1,39,55,9,61,84,3,562
Standish,56,377,378,30,509,24,164,112,4,78,835,29,2596
Stanfield,68,122,246,19,367,4,57,45,10,103,183,499,1723
Stanford,326,1455,316,73,653,926,78,43,74,180,147,982,5253
Stanfordville,2,0,16,21,11,0,142,115,7,68,92,14,488
Stanhope,13,5,79,433,34,0,300,79,115,411,349,17,1835
Stanley,247,1643,988,94,1717,55,208,649,25,259,511,163,6559
Stanleytown,38,10,8,1,3,1,1,2,1,0,2,1,68
Stanton,1083,1783,1049,145,2587,160,348,352,86,473,647,859,9572
Stantonsburg,88,143,69,2,253,9,3,3,1,2,10,58,641
Stantonville,107,79,47,1,33,1,1,1,0,1,5,3,279
Stanwood,228,407,850,651,743,22,859,697,199,336,597,124,5713
Staplehurst,5,2,14,3,15,0,9,34,2,5,6,9,104
Staples,152,152,223,15,265,61,39,20,12,21,89,47,1096
Stapleton,77,116,245,28,94,22,30,23,5,27,64,77,808
Star,130,373,157,76,518,9,85,114,34,170,410,169,2245
Star City,327,411,320,8,222,36,36,15,5,22,65,243,1710
Star Junction,21,11,28,1,19,1,1,1,1,1,5,10,100
Star Lake,42,24,65,0,40,0,1,4,0,4,8,2,190
Star Prairie,6,1,28,14,33,0,33,43,8,43,138,3,350
Star Tannery,4,4,27,4,73,0,8,6,7,22,13,2,170
Starbuck,166,94,103,3,40,6,13,57,5,13,16,15,531
Starford,4,9,18,0,14,0,1,1,0,0,4,1,52
Stark,6,11,9,0,3,3,1,3,1,1,6,5,49
Stark City,18,130,43,2,26,0,3,11,2,2,10,7,254
Starke,200,1279,493,36,583,190,58,151,12,13,46,47,3108
Starks,81,167,59,8,46,14,5,11,1,8,26,17,443
Starksboro,5,6,21,2,88,0,4,24,8,46,80,14,298
Starkville,216,1083,405,31,309,5685,49,114,8,37,173,839,8949
Starkweather,13,9,15,1,6,0,1,2,0,1,16,5,69
Starlight,20,12,23,1,7,0,2,3,1,1,3,3,76
Starr,157,548,90,1,72,10,2,2,3,2,7,10,904
Starrucca,10,22,49,0,23,0,2,8,2,1,3,3,123
State Center,13,14,114,11,220,3,23,29,3,19,17,33,499
State College,169,699,740,575,419,2673,170,116,34,1911,1157,6189,14852
State Farm,0,0,0,1,0,0,3,2,0,7,3,0,16
State Line,58,317,93,5,69,0,2,7,3,3,20,7,584
State Road,181,248,89,2,138,12,20,8,0,3,17,40,758
State University,1,15,0,0,1,186,0,0,0,1,0,3,207
Stateline,15,8,332,4,20,2,68,56,6,93,17,115,736
Staten Island,1607,1769,3576,13956,5984,2345,15588,3693,5990,8269,21665,2437,86879
Statenville,8,192,11,0,15,1,2,0,0,1,2,5,237
Statesboro,144,1642,291,7,2369,5467,40,26,10,291,287,670,11244
Statesville,1062,5054,1957,48,1062,1137,126,560,154,498,718,1876,14252
Statham,58,136,87,72,971,19,55,13,27,44,148,14,1644
Staunton,699,3000,1164,150,1629,248,323,1005,102,422,319,681,9742
Stayton,130,105,451,16,156,177,25,136,6,56,164,471,1893
Steamboat Rock,11,11,33,2,17,2,6,25,2,1,13,10,133
Steamboat Springs,13,10,219,14,349,1,113,101,62,165,110,2481,3638
Stearns,88,755,7,0,7,2,0,0,0,0,6,7,872
Stebbins,4,64,0,0,1,2,0,0,1,1,2,4,79
Stedman,30,129,69,18,568,4,15,14,5,60,185,84,1181
Steedman,7,26,39,2,25,0,3,7,5,2,5,2,123
Steele,218,704,171,28,458,43,21,59,6,41,79,95,1923
Steele City,11,4,6,1,3,0,2,2,1,2,1,0,33
Steeleville,86,54,258,23,85,14,18,42,3,16,44,27,670
Steelville,55,839,126,4,64,6,15,11,2,3,16,17,1158
Steen,2,24,35,1,7,0,3,1,1,2,3,1,80
Steens,44,83,71,4,169,2,10,7,2,14,63,12,481
Steep Falls,6,0,15,6,35,0,26,40,1,75,156,2,362
Steger,33,235,349,76,403,206,59,56,17,75,176,509,2194
Stehekin,1,0,15,0,1,0,1,1,0,0,1,4,24
Steilacoom,29,15,101,20,261,7,118,69,117,241,256,184,1418
Steinauer,17,4,13,0,14,0,1,5,0,2,6,3,65
Steinhatchee,11,7,383,1,8,0,1,34,1,0,0,0,446
Stella,85,150,149,4,156,6,11,59,2,23,28,70,743
Stem,15,12,61,8,323,1,14,23,7,11,117,23,615
Stendal,6,60,37,1,27,0,2,5,1,4,4,1,148
Stennis Space Center,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen,5,4,16,3,10,0,5,161,3,11,19,6,243
Stephens,147,190,140,1,82,5,3,8,0,2,13,25,616
Stephens City,38,74,302,503,1157,6,139,149,62,376,584,449,3839
Stephenson,224,216,192,35,124,0,12,64,4,60,59,17,1007
Stephensport,19,22,2,1,4,1,1,1,0,1,1,0,53
Stephentown,5,5,48,7,57,0,42,160,2,36,127,7,496
Stephenville,136,476,711,28,686,1470,82,287,66,184,395,963,5484
Sterling,1321,1798,2265,5191,2438,501,1389,1233,2575,6200,2131,895,27937
Sterling City,0,229,3,0,4,0,0,0,0,0,4,1,241
Sterling Heights,550,3097,1984,1585,4043,1587,2229,2503,509,1722,3196,2874,25879
Sterlington,27,25,113,27,266,3,10,37,5,68,136,31,748
Sterrett,35,153,49,40,152,10,70,59,21,387,104,17,1097
Stetson,6,21,45,2,111,1,3,19,1,3,9,4,225
Stetsonville,20,30,98,4,38,2,6,5,1,12,19,17,252
Steuben,29,146,45,1,45,2,3,9,1,1,8,2,292
Steubenville,814,1364,1606,11,763,866,72,295,13,17,147,523,6491
Stevens,67,18,150,19,222,1,47,86,4,97,429,91,1231
Stevens Point,473,1086,250,355,731,1795,601,465,67,296,996,1013,8128
Stevens Village,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevensburg,1,1,3,2,4,2,2,1,1,5,12,3,37
Stevenson,284,288,682,11,467,13,35,72,27,18,101,42,2040
Stevenson Ranch,0,0,32,2066,7,0,47,25,44,896,99,104,3320
Stevensville,155,680,852,774,564,36,718,642,484,904,972,232,7013
Stevinson,16,0,21,1,63,2,1,2,1,2,20,176,305
Steward,5,4,22,1,23,0,8,29,3,13,31,7,146
Stewardson,15,30,114,6,63,0,6,5,4,1,5,19,268
Stewart,140,190,224,7,147,18,24,22,7,11,49,27,866
Stewartstown,35,4,111,370,212,0,92,192,46,274,344,92,1772
Stewartsville,73,31,120,459,110,3,113,98,73,88,388,70,1626
Stewartville,62,354,160,239,133,33,86,42,8,179,220,36,1552
Stickney,37,5,26,4,11,0,2,11,0,3,15,24,138
Stigler,193,308,165,5,301,55,21,7,3,9,62,51,1180
Stilesville,3,5,23,6,63,1,20,3,4,8,96,4,236
Still Pond,2,1,7,0,6,0,10,14,1,2,5,3,51
Stillman Valley,6,16,83,23,81,0,47,48,15,33,250,16,618
Stillwater,535,1414,1205,1211,1729,5249,859,929,487,2626,1530,2264,20038
Stilwell,258,1603,27,307,106,271,137,27,545,308,87,52,3728
Stinnett,16,186,8,6,6,3,2,2,5,0,511,7,752
Stinson Beach,0,0,0,0,0,0,176,3,0,0,0,0,179
Stirling,1,0,2,35,2,0,38,17,201,53,77,5,431
Stirum,6,2,6,0,7,0,3,3,1,1,4,4,37
Stites,55,8,37,0,6,0,1,2,0,1,2,6,118
Stittville,4,1,35,6,10,0,9,29,6,12,30,2,144
Stitzer,4,6,19,0,35,0,4,4,1,5,9,4,91
Stockbridge,323,1381,970,430,1315,969,1021,381,150,1586,3043,2313,13882
Stockdale,104,46,244,25,285,14,21,74,20,23,85,41,982
Stockett,3,9,22,4,18,0,5,9,0,1,9,2,82
Stockholm,54,36,129,44,45,3,280,84,47,40,200,21,983
Stockport,75,207,63,6,244,5,9,18,3,4,21,17,672
Stockton,5205,20726,5549,1810,6492,3988,3342,2857,614,1212,6723,5880,64398
Stockton Springs,27,27,295,2,85,0,5,21,1,2,23,20,508
Stockville,11,1,2,0,2,0,0,2,0,0,1,1,20
Stoddard,76,76,151,30,173,8,50,110,4,20,45,76,819
Stokes,42,26,47,0,32,40,0,4,0,1,7,21,220
Stokesdale,63,115,231,60,566,0,49,58,12,90,312,72,1628
Stone,12,52,10,0,10,22,0,3,0,0,1,0,110
Stone Creek,26,12,48,1,77,2,9,12,0,7,16,18,228
Stone Harbor,3,0,1,0,1,0,42,113,21,15,18,2,216
Stone Lake,99,70,57,0,72,3,11,10,0,5,6,6,339
Stone Mountain,564,2380,645,583,6573,3108,1552,747,205,566,2120,2935,21978
Stone Park,6,16,10,1,364,1,0,0,0,5,20,257,680
Stone Ridge,1,0,13,22,59,0,36,141,45,107,134,51,609
Stoneboro,40,22,286,2,127,0,17,16,2,4,17,44,577
Stonefort,55,8,42,0,50,0,3,16,1,3,6,1,185
Stoneham,186,65,160,533,209,2,806,392,569,1248,390,376,4936
Stoneville,373,289,168,28,243,2,25,139,28,66,231,156,1748
Stonewall,323,475,304,15,675,11,31,65,10,55,131,30,2125
Stoney Fork,20,49,5,0,4,0,0,0,0,0,0,1,79
Stonington,155,53,220,96,101,1,325,310,58,177,242,47,1785
Stony Brook,9,0,1,189,3,0,258,113,1126,740,57,1,2497
Stony Creek,100,39,230,7,133,6,17,17,5,12,31,79,676
Stony Point,69,309,138,524,476,9,607,191,210,436,302,231,3502
Stonyford,5,5,105,0,6,2,0,5,2,1,7,3,141
Stopover,5,180,2,0,3,1,0,1,0,0,2,1,195
Storden,9,5,42,4,6,0,5,4,3,1,1,0,80
Storm Lake,185,498,263,22,618,114,126,86,16,29,102,277,2336
Stormville,0,1,3,160,2,0,168,32,230,102,124,1,823
Storrs Mansfield,98,3,51,122,121,280,135,145,69,179,292,311,1806
Story,31,36,64,4,35,1,5,50,1,4,6,2,239
Story City,129,79,194,62,131,11,63,67,20,51,116,74,997
Stotts City,22,46,18,1,15,1,7,1,2,1,8,5,127
Stoughton,276,534,302,774,1312,42,1518,1117,892,797,1585,659,9808
Stout,46,110,38,1,55,1,13,9,4,6,34,11,328
Stoutland,46,58,100,5,52,1,13,3,1,7,24,18,328
Stoutsville,40,16,79,35,210,0,29,33,11,27,278,14,772
Stover,234,328,84,2,41,25,5,32,9,9,40,17,826
Stow,167,581,926,1405,1635,244,924,921,597,923,808,536,9667
Stowe,40,9,96,19,100,0,202,165,39,149,167,79,1065
Stoystown,77,84,195,9,161,3,11,22,5,11,70,24,672
Strabane,0,0,117,0,47,1,1,0,1,0,4,10,181
Strafford,62,100,197,62,720,5,87,286,38,278,253,118,2206
Strandburg,3,1,20,1,3,0,3,5,1,1,3,3,44
Strandquist,21,6,42,1,56,0,3,3,2,2,7,5,148
Strang,241,104,146,4,61,9,17,35,5,10,49,17,698
Strasburg,394,323,930,343,971,49,471,310,88,326,1220,333,5758
Stratford,549,1269,765,1847,2895,179,1018,1120,868,2242,1781,379,14912
Stratham,0,0,0,539,1,0,207,28,162,284,220,0,1441
Strathcona,3,39,5,2,8,1,5,3,0,1,2,0,69
Strathmere,1,1,1,0,1,0,32,2,2,1,1,2,44
Strathmore,35,355,30,9,118,29,9,21,5,13,84,136,844
Strattanville,49,124,81,13,43,26,7,10,3,11,13,47,427
Stratton,87,154,44,2,103,11,2,12,1,5,16,75,512
Straughn,10,20,32,1,48,2,16,1,2,3,19,2,156
Strawberry,75,99,48,1,52,0,2,4,0,1,9,5,296
Strawberry Plains,154,279,303,4,648,49,12,26,2,41,82,204,1804
Strawberry Point,34,17,241,6,125,0,3,13,2,4,18,20,483
Strawberry Valley,2,1,24,0,1,0,0,1,0,0,0,1,30
Strawn,10,11,136,4,45,0,7,41,6,5,22,5,292
Streamwood,14,32,117,627,1921,0,343,153,346,1002,2024,222,6801
Streator,604,604,426,103,1236,134,108,120,125,89,470,357,4376
Street,2,0,33,130,70,0,162,101,97,113,459,9,1176
Streeter,4,2,31,1,4,0,4,14,1,3,2,2,68
Streetman,55,21,102,2,31,1,24,54,10,13,54,16,383
Streetsboro,35,222,130,411,1148,41,251,171,50,199,556,355,3569
Stringer,15,83,60,3,173,0,2,2,0,2,13,2,355
Stringtown,18,72,18,0,26,1,1,1,1,0,1,2,141
Stromsburg,27,15,215,5,19,2,4,6,1,7,12,9,322
Strong,260,369,90,2,90,2,4,7,3,5,16,15,863
Strong City,11,17,108,4,29,0,16,19,3,7,5,14,233
Stronghurst,112,20,57,1,30,1,3,7,2,1,5,7,246
Strongstown,5,8,46,4,34,0,2,6,1,1,9,4,120
Strongsville,133,275,447,590,925,527,693,719,478,1442,2216,733,9178
Stroud,98,245,381,8,124,2,22,23,9,10,34,55,1011
Stroudsburg,297,213,307,241,206,122,403,620,20,255,2931,254,5869
Strum,27,83,72,11,84,4,7,33,11,26,70,10,438
Strunk,30,327,2,0,11,4,0,0,0,0,1,1,376
Struthers,340,1207,430,14,106,70,39,31,6,12,54,34,2343
Stryker,16,43,41,6,365,0,14,3,6,7,44,6,551
Strykersville,2,3,18,4,88,0,40,17,3,25,81,30,311
Stuart,2820,3005,2495,138,2693,403,1927,1785,479,725,1513,720,18703
Stuarts Draft,113,77,367,14,791,1,46,72,4,219,205,159,2068
Studio City,1,1,54,566,158,0,770,218,610,3650,539,964,7531
Stumpy Point,2,44,2,1,5,0,0,0,0,0,0,3,57
Sturbridge,16,2,92,131,78,0,325,92,35,107,371,24,1273
Sturdivant,11,21,1,0,12,0,0,0,0,0,0,0,45
Sturgeon,24,65,54,23,161,4,23,10,4,21,32,36,457
Sturgeon Bay,228,939,425,9,763,69,214,590,67,24,448,326,4102
Sturgeon Lake,107,131,188,9,61,1,16,53,6,6,27,17,622
Sturgis,805,2371,626,110,1308,525,163,365,103,77,595,294,7342
Sturkie,7,21,5,0,4,0,1,0,0,0,0,0,38
Sturtevant,58,62,80,63,211,17,80,126,16,116,318,307,1454
Stuttgart,85,893,239,39,189,204,123,141,30,22,133,159,2257
Stuyvesant,20,6,84,9,86,1,51,64,11,8,30,28,398
Suamico,11,3,40,151,105,0,111,49,8,60,229,17,784
Subiaco,44,67,24,4,64,2,7,10,2,5,6,5,240
Sublette,10,4,470,2,70,2,4,65,7,4,13,6,657
Sublimity,23,6,111,15,118,0,71,186,6,20,89,52,697
Succasunna,1,1,8,521,42,0,139,33,420,456,280,10,1911
Success,35,31,28,0,24,1,1,4,1,1,1,5,132
Suches,177,32,59,0,15,1,8,16,1,1,9,7,326
Sudan,26,112,7,2,48,0,1,10,0,3,14,6,229
Sudbury,0,0,1,448,5,0,135,11,2148,316,12,2,3078
Sudlersville,12,11,40,39,15,2,126,24,6,39,70,9,393
Suffern,225,24,706,499,130,2,226,514,1146,660,423,132,4687
Suffield,4,5,62,411,86,2,241,243,111,503,228,122,2018
Suffolk,172,2458,691,848,2555,110,2035,480,326,1982,4065,605,16327
Sugar City,23,11,112,9,103,5,5,8,1,17,91,56,441
Sugar Grove,177,479,565,360,456,46,741,223,314,226,248,208,4043
Sugar Hill,3,3,7,1,9,1,66,10,2,6,5,6,119
Sugar Land,28,33,173,8074,2963,0,2466,707,4595,1157,5832,800,26828
Sugar Run,0,0,7,0,13,0,4,235,0,0,0,1,260
Sugar Tree,31,62,18,2,24,0,7,8,2,2,4,2,162
Sugar Valley,13,53,18,2,83,3,2,3,1,3,14,26,221
Sugarcreek,69,118,182,9,343,22,17,42,1,49,150,262,1264
Sugarloaf,47,27,207,44,98,1,150,250,11,89,109,8,1041
Sugartown,11,19,16,0,41,0,1,1,0,1,3,2,95
Suisun City,128,19,90,1545,197,14,650,133,57,291,1160,560,4844
Suitland,248,40,181,179,494,139,256,257,275,397,819,2788,6073
Sula,37,8,22,0,6,0,1,1,0,0,0,2,77
